Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,Watering_Regm
SRR5224884,0.000000e+00,5.763357e-05,2.482854e-01,1.112328e-01,1.152671e-03,8.725722e-02,2.996945e-03,5.527059e-02,2.593510e-03,0.000000e+00,1.671373e-03,1.267938e-02,1.959541e-03,6.132211e-02,2.870152e-02,1.792404e-02,7.780531e-03,5.590456e-03,4.610685e-03,2.748545e-01,5.763357e-04,1.152671e-04,0.000000e+00,0.000000e+00,7.215722e-02,1.210305e-03,1
SRR5224885,0.0000000000,0.0000000000,0.1575820500,0.1668108669,0.0025956048,0.1161677337,0.0014996828,0.0681778854,0.0017880833,0.0000000000,0.0135548249,0.0007498414,0.0025956048,0.1082078791,0.0271096499,0.0283209321,0.0060564111,0.0036338467,0.0020764838,0.2549460691,0.0004037607,0.0004037607,0.0000000000,0.0000000000,0.0373190287,0.0000000000,1
SRR5224887,0.0000000000,0.0000000000,0.1650709424,0.1643788211,0.0001730303,0.1257353789,0.0010381820,0.0666743569,0.0019610105,0.0000000000,0.0013842427,0.0026531318,0.0021340408,0.1014534548,0.0286653593,0.0162648518,0.0086515169,0.0024224247,0.0055946476,0.2613911639,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0440650594,0.0002883839,1
SRR5224894,0.0000000000,0.0000000000,0.2973876939,0.2446802376,0.0013840032,0.0850008650,0.0012110028,0.0288334006,0.0012110028,0.0004613344,0.0012686696,0.0049016781,0.0005766680,0.0249697249,0.0224323857,0.0141860331,0.0065163485,0.0093996886,0.0040366761,0.2092728216,0.0002306672,0.0000000000,0.0000000000,0.0000576668,0.0402514273,0.0017300040,1
SRR5224896,0.0026601897,0.0000000000,0.2791464261,0.0809622947,0.0012144344,0.0919500347,0.0030071709,0.1009715475,0.0028915105,0.0006939625,0.0000000000,0.0037589637,0.0007517927,0.1121906084,0.0340041638,0.0371848254,0.0074600972,0.0170020819,0.0046842471,0.1623294009,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0561531344,0.0009831136,0
SRR5224915,0.0000000000,0.0000000000,0.2837290098,0.0298204980,0.0032426173,0.2508396063,0.0039374638,0.0093804285,0.0003474233,0.0000000000,0.0008106543,0.0018529241,0.0020266358,0.0121019108,0.0209033005,0.0303416329,0.0098436595,0.0089751013,0.0023161552,0.2733063115,0.0000000000,0.0004632310,0.0009264621,0.0000000000,0.0548349739,0.0000000000,0
SRR5224923,0.0000000000,0.0000000000,0.0148143878,0.4413188840,0.0006917224,0.1579432788,0.0008070095,0.0069748674,0.0029974637,0.0000000000,0.0000000000,0.0000000000,0.0015563754,0.0024786719,0.0019022366,0.0454231035,0.0000000000,0.0012105142,0.0000000000,0.3088540466,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0130274383,0.0000000000,1
SRR5224926,0.000000e+00,0.000000e+00,2.980171e-02,2.872954e-01,6.917224e-04,3.197487e-01,6.917224e-04,7.608946e-03,5.764353e-05,0.000000e+00,0.000000e+00,2.305741e-04,0.000000e+00,2.882177e-03,2.939820e-03,9.338252e-03,5.764353e-05,1.037584e-03,9.799401e-04,3.227461e-01,0.000000e+00,0.000000e+00,3.458612e-04,0.000000e+00,1.354623e-02,0.000000e+00,0
SRR5224927,2.885337e-04,0.000000e+00,2.016850e-01,1.377460e-01,9.233078e-04,5.828380e-02,1.731202e-03,2.850713e-02,1.038721e-03,5.770673e-05,1.044492e-02,2.769923e-03,3.116164e-03,1.962029e-01,3.150788e-02,3.618212e-02,6.924808e-03,1.731202e-04,2.019736e-03,2.561025e-01,8.656010e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.279416e-02,6.347741e-04,1
SRR5224928,0.000000e+00,0.000000e+00,1.308487e-01,1.429643e-01,1.269255e-03,1.730226e-01,1.615416e-03,2.855824e-02,9.230947e-04,5.769342e-05,1.269255e-03,1.557722e-03,9.807881e-04,8.584780e-02,2.059655e-02,3.357757e-02,4.096233e-03,2.653897e-03,9.807881e-04,3.221023e-01,5.769342e-05,1.730803e-04,2.884671e-04,0.000000e+00,4.627012e-02,2.884671e-04,1
